Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV
100033,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,5000,926.46
100034,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,5000,134.93
100037,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,5000,13.0536
100038,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,5000,129.6436
100039,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Growth),5000,
100040,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Dividend),5000,
100041,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.023
100042,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Rs. 500/- and in multiples of Re. 1/- thereafter,
100043,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Rs. 500/- and in multiples of Re. 1/- thereafter,
100044,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,163.694
100046,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,100.195
100047,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,Rs. 500/- and in multiples of Re. 1/- thereafter,448.923
100048,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.068
100050,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),Rs. 500/- and in multiples of Re. 1/- thereafter,
100051,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,100.3158
100057,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,5000,10.7735
100058,Aditya Birla Sun Life Government Securities Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,5000,81.6613
100063,Aditya Birla Sun Life MNC Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Regular - IDCW,5000,207.7
100064,Aditya Birla Sun Life MNC Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,5000,1291.51
100077,DSP Bond Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - IDCW,Rs. 1000/  and any amount thereafter,11.6637
100078,DSP Bond Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Growth,Rs. 1000/  and any amount thereafter,86.5153
100079,DSP Bond Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - IDCW - Monthly,Rs. 1000/  and any amount thereafter,11.224
100080,DSP Flexi Cap Fund,DSP Asset Managers Private Limited,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Regular Plan - IDCW,Rs. 1000/  and any amount thereafter,57.803
100081,DSP Aggressive Hybrid Fund,DSP Asset Managers Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund- Regular Plan - Growth,Rs. 1000/  and any amount thereafter,347.432
100082,DSP Aggressive Hybrid Fund,DSP Asset Managers Private Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,Rs. 1000/  and any amount thereafter,26.663
100084,DSP Gilt Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Regular Plan - Growth,Rs. 100/  and any amount thereafter,98.5445
100085,DSP Gilt Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Regular Plan - IDCW,Rs. 100/  and any amount thereafter,12.7717
100086,DSP Gilt Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Regular Plan - IDCW - Monthly,Rs. 100/  and any amount thereafter,10.7799
100087,DSP Savings Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Regular Plan - Growth,Rs. 1000/- & any amount thereafter,56.1901
100088,DSP Savings Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Regular Plan - IDCW,Rs. 1000/- & any amount thereafter,12.5069
100089,DSP Savings Fund,DSP Asset Managers Private Limited,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Regular Plan - IDCW - Monthly,Rs. 1000/- & any amount thereafter,11.0438
100119,HDFC Balanced Advantage Fund,HDFC Asset Management Company Limited,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund - Growth Plan,For new investors  Rs.5000 For existing Rs. 1000,517.524
100120,HDFC Balanced Advantage Fund,HDFC Asset Management Company Limited,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund - IDCW Plan,For new investors  Rs.5000 For existing Rs. 1000,36.14
100123,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund - Quarterly IDCW Option,REFER SID,11.4915
100124,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund - Growth Option,REFER SID,60.4498
100125,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund-Premium Plan Dividend,REFER SID,
100126,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund-Premium Plus Dividend,REFER SID,
100127,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund-Premium Plus Growth,REFER SID,
100128,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund-Premium Plan Growth,REFER SID,
100129,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund-Premium Plus Growth,REFER SID,
100130,HDFC Income Fund,HDFC Asset Management Company Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund-Premium Plus Dividend,REFER SID,
100174,Quant ELSS Tax Saver Fund,quant Money Managers Limited,Open Ended,Equity Scheme - ELSS,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,Rs. 5000/-,55.8105
100175,Quant ELSS Tax Saver Fund,quant Money Managers Limited,Open Ended,Equity Scheme - ELSS,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,Rs. 5000/-,401.9155
100176,Quant Small Cap Fund,quant Money Managers Limited,Open Ended,Equity Scheme - Small Cap Fund,quant Small Cap Fund - IDCW Option - Regular Plan,Rs. 5000/-,222.7245
100177,Quant Small Cap Fund,quant Money Managers Limited,Open Ended,Equity Scheme - Small Cap Fund,quant Small Cap Fund - Growth - Regular Plan,Rs. 5000/-,280.0675
100218,JM Large Cap Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,JM Large Cap Fund (Regular) - IDCW ,Rs.5000/- & in multiples of any amount thereafter,29.2356
100219,JM Large Cap Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,JM Large Cap Fund (Regular) - Growth Option,Rs.5000/- & in multiples of any amount thereafter,150.6032
100220,JM Aggressive Hybrid Fund,JM Financial Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,JM Aggressive Hybrid Fund (Regular) - IDCW,Rs.5000/- & in multiples of any amount thereafter,32.6275
100221,JM Aggressive Hybrid Fund,JM Financial Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,JM Aggressive Hybrid Fund (Regular) -Growth Option,Rs.5000/- & in multiples of any amount thereafter,116.6557
100222,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,5000,21.9029
100223,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Medium to Long Duration Fund (Regular) - Growth Option,5000,64.4191
100224,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Income Fund-Serial Plan 2004 Growth,5000,
100225,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Income Fund-Serial Plan 2003 Dividend,5000,
100226,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Income Fund-JM Income Fund - Serial Plan 2004 Growth,5000,
100227,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Income Fund-Serial Plan 2004 Growth,5000,
100228,JM Medium to Long Duration Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,JM Income Fund-Serial Plan 2004 Dividend,5000,
100233,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund (Regular) - Weekly IDCW,5000,11.0065
100234,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund - Growth Option,5000,75.9098
100235,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM High Liquidity Fund-Serial Plan 01,5000,
100236,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM High Liquidity Fund-Serial Plan 02,5000,
100239,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM High Liquidity Fund-Monthly Dividend,5000,
100240,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM High Liquidity Fund-Institutional Plan - Monthly Dividend,5000,
100242,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM High Liquidity Fund-Montly Dividend,5000,
100244,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund (Regular) - Quarterly IDCW,5000,42.9657
100247,JM Liquid Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Liquid Fund,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,5000,43.6468
100248,JM G-Sec Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,JM G-Sec Fund-Short Term Plan,Rs 5000/-,
100249,JM G-Sec Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,JM G-Sec Fund - Quarterly Dividend Option,Rs 5000/-,
100250,JM G-Sec Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,JM G-Sec Fund - Growth Option,Rs 5000/-,
100253,JM G-Sec Fund,JM Financial Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,JM G-Sec Fund - Bonus Option - Principal Units,Rs 5000/-,
100254,JM Value Fund,JM Financial Asset Management Limited,Open Ended,Equity Scheme - Value Fund,JM Value Fund (Regular) - Growth Option,Rs.5000/- & in multiples of any amount thereafter,92.2242
100264,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,500,18.9747
100265,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Investment Regular-Growth,500,97.1056
100266,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Serial 2001-Dividend,500,
100267,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Serial 2001-Growth,500,
100268,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Serial 2003-Dividend,500,
100269,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Serial 2003-Growth,500,
100274,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Serial 2011-Dividend,500,
100280,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,500,11.7986
100281,Kotak Gilt Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Gilt Fund,Kotak Gilt-Investment  Provident Fund and Trust-Growth,500,99.3459
100286,Kotak Aggressive Hybrid Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option,Rs.1000,37.713
100291,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Dividend,5000,13.6554
100292,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Growth,5000,42.9354
100293,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Dividend,5000,
100294,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Dividend,5000,
100295,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Dividend,5000,
100296,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Growth,5000,
100297,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Deposit-Growth,5000,
100299,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond Fund - Regular Plan Growth,5000,79.7882
100300,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond Fund - Regular Plan - Standard IDCW Option,5000,48.8838
100302,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2001 B-Dividend,5000,
100303,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2001 B-Growth,5000,
100304,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2002 A-Dividend,5000,
100305,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2002 A-Growth,5000,
100306,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2005  A-Dividend,5000,
100307,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2005  A-Dividend,5000,
100308,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2005 A-Dividend,5000,
100309,Kotak Bond Fund,Kotak Mahindra Asset Management Company Limited.,Open Ended,Debt Scheme - Medium to Long Duration Fund,Kotak Bond-Serial 2005-Dividend,5000,
100312,LIC MF Flexi Cap Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Flexi Cap Fund,LIC MF Flexi Cap Fund-Regular Plan-IDCW,2000,32.3688
100313,LIC MF Flexi Cap Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Flexi Cap Fund,LIC MF Flexi Cap Fund-Regular Plan-Growth,2000,102.5751
100314,LIC MF Medium to Long Duration Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,5000/-,16.5325
100315,LIC MF Medium to Long Duration Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,5000/-,75.4236
100316,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,LIC MF Gilt Fund-Regular Plan-IDCW,10000,17.3188
100317,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,LIC MF Gilt Fund-Regular Plan-Growth,10000,60.0826
100318,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,LIC MF Gilt Fund-PF Plan-IDCW,10000,22.4555
100319,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,LIC MF Gilt Fund-PF Plan-Growth,10000,34.7016
100320,LIC MF Gilt Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Debt Scheme - Gilt Fund,LIC MF Govt Securities Fund-PF Plan,10000,
100321,LIC MF Aggressive Hybrid Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,Rs.1000/-,14.8163
100322,LIC MF Aggressive Hybrid Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,LICMF Balanced Fund-Growth,Rs.1000/-,
100323,LIC MF Aggressive Hybrid Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,Rs.1000/-,195.7757
100325,LIC MF Unit Linked Insurance Scheme (ULIS),LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - ELSS,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,Reg contr.-10000-10yr15000-15yrSingle Cont-10000,36.1366
100332,LIC MF Large Cap Fund,LIC Mutual Fund Asset Management Limited,Open Ended,Equity Scheme - Large Cap Fund,LIC MF Large Cap Fund-Regular Plan-IDCW,Rs. 2000,31.8018
100337,SaharaTax Gain,Sahara Asset Management Company Private Limited,Open Ended,ELSS,SaharaTax Gain-Dividend,500,
100338,SaharaTax Gain,Sahara Asset Management Company Private Limited,Open Ended,ELSS,SaharaTax Gain-Growth,500,
100348,ICICI Prudential Large & Mid Cap Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,ICICI Prudential Large & Mid Cap Fund - IDCW,Rs. 5000/- (plus in multiple of Re. 1/-),30.1
100349,ICICI Prudential Large & Mid Cap Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,ICICI Prudential Large & Mid Cap Fund - Growth,Rs. 5000/- (plus in multiple of Re. 1/-),1025.79
100351,ICICI Prudential FMCG Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential FMCG Fund - IDCW,Rs. 5000/- (plus in multiple of Re. 1/-),77.15
100352,ICICI Prudential FMCG Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential FMCG Fund - Growth,Rs. 5000/- (plus in multiple of Re. 1/-),417.41
100353,ICICI Prudential ELSS Tax Saver Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,ICICI Prudential ELSS Tax Saver Fund - IDCW,Rs. 500/- (plus in multiple of Re. 1/-),21.01
100354,ICICI Prudential ELSS Tax Saver Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - ELSS,ICICI Prudential ELSS Tax Saver Fund - Growth,Rs. 500/- (plus in multiple of Re. 1/-),922.62
100355,ICICI Prudential Equity & Debt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,ICICI Prudential Equity & Debt Fund - Monthly IDCW,5000,43.03
100356,ICICI Prudential Equity & Debt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,ICICI Prudential Equity & Debt Fund - Growth,5000,403.21
100357,ICICI Prudential Liquid Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Liquid Fund,ICICI Prudential Liquid Fund -Quarterly IDCW,5000,101.4288
100359,ICICI Prudential Liquid Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Liquid Fund,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,5000,118.5152
100363,ICICI Prudential Technology Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Equity Scheme - Sectoral/ Thematic,ICICI Prudential Technology Fund - Growth,Rs. 5000/- (plus in multiple of Re. 1/-),171.08
100364,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Long Duration Fund,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,5000,11.1771
100365,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Long Duration Fund,ICICI Prudential Long Term Bond Fund - Growth,5000,92.0237
100366,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Long Duration Fund,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,5000,11.7562
100367,ICICI Prudential Long Term Bond Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Long Duration Fund,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,5000,12.4089
100368,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Gilt Fund - IDCW,5,17.6634
100369,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Gilt Fund - Growth,5,107.8206
100370,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Short Term Gilt Fund - Dividend,5,12.1349
100371,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Short Term Gilt Fund - Growth,5,43.635
100372,ICICI Prudential Gilt Fund,ICICI Prudential Asset Management Company Limited,Open Ended,Debt Scheme - Gilt Fund,ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,5,11.2589
100373,ICICI Prudential Premier,ICICI Prudential Asset Management Company Limited,Close Ended,Balanced,ICICI Prudential Premier,,
100375,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,Purchase Rs 100 & in multiples of Rs 1 thereafter,119.2423
100376,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,Purchase Rs 100 & in multiples of Rs 1 thereafter,738.1223
100377,Nippon India Growth Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Mid Cap Fund,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,Purchase Rs 100 & in multiples of Rs 1 thereafter,4433.9383
100378,Nippon India Vision Large & Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Nippon India Vision Large & Midcap Fund - IDCW Option,5000 & in multiples of 1 thereafter,61.2784
100379,Nippon India Vision Large & Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,5000 & in multiples of 1 thereafter,248.3284
100380,Nippon India Vision Large & Mid Cap Fund,Nippon Life India Asset Management Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,5000 & in multiples of 1 thereafter,1474.3909
100383,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,NIPPON INDIA MEDIUM TO LONG DURATION FUND - MONTHLY IDCW Option,Growth  5000 Monthly  25000 Quarterly  10000,10.7778
100384,Nippon India Medium to Long Duration Fund,Nippon Life India Asset Management Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - QUARTERLY IDCW Option,Growth  5000 Monthly  25000 Quarterly  10000,13.2592
